volatility,underlying_price,strike_price,option_price,delta,gamma,theta,vega,rho
0.1, 40, 50, 0.0737851, 0.0463392, 0.024262, -0.000775575, 0.0388191, 0.0177978
0.1, 41, 50, 0.133934, 0.0757135, 0.0347758, -0.00120769, 0.0584581, 0.0297032
0.1, 42, 50, 0.22897, 0.11633, 0.0465939, -0.00176385, 0.0821917, 0.046569
0.1, 43, 50, 0.370618, 0.168974, 0.0586214, -0.00242936, 0.108391, 0.0689525
0.1, 44, 50, 0.570795, 0.233205, 0.0695452, -0.0031718, 0.13464, 0.0969021
0.1, 45, 50, 0.840318, 0.307269, 0.0780953, -0.00394536, 0.158143, 0.129868
0.1, 46, 50, 1.18766, 0.388276, 0.083303, -0.00469862, 0.176269, 0.16673
0.1, 47, 50, 1.61798, 0.472593, 0.084681, -0.00538355, 0.18706, 0.205939
0.1, 48, 50, 2.13266, 0.556373, 0.0822818, -0.00596315, 0.189577, 0.245733
0.1, 49, 50, 2.72935, 0.63607, 0.0766339, -0.00641614, 0.183998, 0.284381
0.1, 50, 50, 3.40248, 0.70884, 0.0685888, -0.00673791, 0.171472, 0.320395
0.1, 51, 50, 4.14408, 0.772778, 0.0591339, -0.00693813, 0.153807, 0.352676
0.1, 52, 50, 4.94477, 0.826957, 0.0492191, -0.00703641, 0.133088, 0.38057
0.1, 53, 50, 5.79471, 0.871328, 0.0396312, -0.00705727, 0.111324, 0.403856
0.1, 54, 50, 6.68436, 0.906517, 0.0309302, -0.00702559, 0.0901924, 0.422676
0.1, 55, 50, 7.60504, 0.933594, 0.0234392, -0.00696342, 0.0709037, 0.437426
0.1, 56, 50, 8.54927, 0.95384, 0.0172761, -0.00688816, 0.0541778, 0.448658
0.1, 57, 50, 9.51089, 0.968577, 0.0124041, -0.00681207, 0.0403008, 0.45698
0.1, 58, 50, 10.485, 0.979034, 0.00868827, -0.0067427, 0.0292273, 0.46299
0.1, 59, 50, 11.4679, 0.986278, 0.0059449, -0.00668383, 0.0206942, 0.467225
0.1, 60, 50, 12.4568, 0.991183, 0.0039788, -0.00663652, 0.0143237, 0.470142
0.2, 40, 50, 0.92971, 0.221922, 0.0371965, -0.00434971, 0.119029, 0.0794718
0.2, 41, 50, 1.17065, 0.260354, 0.0395845, -0.00494801, 0.133083, 0.0950386
0.2, 42, 50, 1.45113, 0.300916, 0.041449, -0.00553888, 0.146232, 0.111874
0.2, 43, 50, 1.77301, 0.343064, 0.0427513, -0.00610927, 0.158094, 0.129788
0.2, 44, 50, 2.1376, 0.386227, 0.0434781, -0.00664737, 0.168347, 0.148564
0.2, 45, 50, 2.54561, 0.429832, 0.0436395, -0.00714312, 0.17674, 0.167968
0.2, 46, 50, 2.99722, 0.473327, 0.0432663, -0.00758856, 0.183103, 0.187758
0.2, 47, 50, 3.49206, 0.516202, 0.0424057, -0.00797795, 0.187348, 0.207694
0.2, 48, 50, 4.02926, 0.557996, 0.0411166, -0.00830789, 0.189465, 0.227545
0.2, 49, 50, 4.60756, 0.598314, 0.0394659, -0.00857711, 0.189515, 0.247098
0.2, 50, 50, 5.22529, 0.636831, 0.037524, -0.00878634, 0.18762, 0.266162
0.2, 51, 50, 5.88053, 0.673289, 0.0353615, -0.00893798, 0.18395, 0.284572
0.2, 52, 50, 6.57112, 0.707503, 0.0330459, -0.00903581, 0.178712, 0.30219
0.2, 53, 50, 7.29475, 0.739351, 0.0306398, -0.00908463, 0.172135, 0.318908
0.2, 54, 50, 8.04901, 0.768771, 0.0281994, -0.00908992, 0.164459, 0.334646
0.2, 55, 50, 8.83148, 0.795754, 0.025773, -0.00905758, 0.155927, 0.34935
0.2, 56, 50, 9.63972, 0.820335, 0.0234012, -0.00899363, 0.146772, 0.362991
0.2, 57, 50, 10.4714, 0.842586, 0.0211164, -0.00890395, 0.137214, 0.37556
0.2, 58, 50, 11.3241, 0.862605, 0.0189437, -0.00879419, 0.127453, 0.38707
0.2, 59, 50, 12.1959, 0.880516, 0.0169011, -0.00866955, 0.117666, 0.397546
0.2, 60, 50, 13.0845, 0.896455, 0.0150005, -0.00853472, 0.108004, 0.407028
0.3, 40, 50, 2.27661, 0.334637, 0.0303466, -0.00750794, 0.145664, 0.111089
0.3, 41, 50, 2.62646, 0.365109, 0.0305621, -0.00802472, 0.154125, 0.12343
0.3, 42, 50, 3.00686, 0.395693, 0.0305736, -0.00851382, 0.161795, 0.136122
0.3, 43, 50, 3.41782, 0.426192, 0.030395, -0.00897106, 0.168601, 0.149085
0.3, 44, 50, 3.85916, 0.456425, 0.0300424, -0.00939308, 0.174486, 0.162235
0.3, 45, 50, 4.33053, 0.486225, 0.0295337, -0.00977736, 0.179417, 0.175496
0.3, 46, 50, 4.83142, 0.515446, 0.0288872, -0.0101222, 0.183376, 0.188791
0.3, 47, 50, 5.36118, 0.54396, 0.0281218, -0.0104266, 0.186363, 0.202049
0.3, 48, 50, 5.91906, 0.571657, 0.0272562, -0.0106903, 0.188395, 0.215205
0.3, 49, 50, 6.50419, 0.598445, 0.0263084, -0.0109136, 0.189499, 0.228196
0.3, 50, 50, 7.11563, 0.624252, 0.0252955, -0.0110975, 0.189716, 0.24097
0.3, 51, 50, 7.75235, 0.64902, 0.0242337, -0.0112433, 0.189095, 0.253477
0.3, 52, 50, 8.41331, 0.672708, 0.0231377, -0.0113528, 0.187693, 0.265675
0.3, 53, 50, 9.0974, 0.695288, 0.0220209, -0.0114279, 0.18557, 0.277529
0.3, 54, 50, 9.80351, 0.716747, 0.0208953, -0.011471, 0.182792, 0.289008
0.3, 55, 50, 10.5305, 0.737079, 0.0197716, -0.0114845, 0.179427, 0.300089
0.3, 56, 50, 11.2773, 0.756293, 0.0186589, -0.011471, 0.175543, 0.310751
0.3, 57, 50, 12.0427, 0.774403, 0.0175651, -0.0114329, 0.171207, 0.320983
0.3, 58, 50, 12.8257, 0.791432, 0.0164967, -0.011373, 0.166485, 0.330773
0.3, 59, 50, 13.6252, 0.807407, 0.0154593, -0.0112937, 0.161441, 0.340118
